,title,year,certification,runtime,genre,imdb_rating,metascore,plot,number_of_votes
0,1. Inside Out 2,2024,PG,1h 36m,Adventure,7.9 (56K),73,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",(56K)
1,2. Furiosa: A Mad Max Saga,2024,R,2h 28m,Adventure,7.7 (116K),79,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,(116K)
2,3. Inside Out,2015,PG,1h 35m,Adventure,8.1 (804K),94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",(804K)
3,4. Mad Max: Fury Road,2015,R,2h,Adventure,8.1 (1.1M),90,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",(1.1M)
4,5. Dune: Part Two,2024,PG-13,2h 46m,Adventure,8.6 (465K),79,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,(465K)
5,6. Godzilla Minus One,2023,PG-13,2h 4m,Adventure,7.7 (129K),81,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",(129K)
6,7. Dune,2021,PG-13,2h 35m,Adventure,8.0 (884K),74,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,(884K)
7,8. Interstellar,2014,PG-13,2h 49m,Adventure,8.7 (2.1M),74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",(2.1M)
8,9. Harry Potter and the Sorcerer's Stone,2001,PG,2h 32m,Adventure,7.6 (862K),65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",(862K)
9,10. The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58m,Adventure,8.9 (2M),92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,(2M)
10,11. Inception,2010,PG-13,2h 28m,Adventure,8.8 (2.6M),74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",(2.6M)
11,12. Gladiator,2000,R,2h 35m,Adventure,8.5 (1.6M),67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,(1.6M)
12,13. Mission: Impossible - Dead Reckoning Part One,2023,PG-13,2h 43m,Adventure,7.7 (255K),81,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,(255K)
13,14. Avengers: Endgame,2019,PG-13,3h 1m,Adventure,8.4 (1.3M),78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",(1.3M)
14,15. Back to the Future,1985,PG,1h 56m,Adventure,8.5 (1.3M),87,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",(1.3M)
15,16. Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,Adventure,8.1 (1.2M),63,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",(1.2M)
16,17. Jaws,1975,PG,2h 4m,Adventure,8.1 (665K),87,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",(665K)
17,18. The Lion King,1994,G,1h 28m,Adventure,8.5 (1.2M),88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",(1.2M)
18,19. Spider-Man: Across the Spider-Verse,2023,PG,2h 20m,Adventure,8.6 (383K),86,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",(383K)
19,20. The Princess Bride,1987,PG,1h 38m,Adventure,8.0 (453K),78,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",(453K)
20,21. Inglourious Basterds,2009,R,2h 33m,Adventure,8.4 (1.6M),69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",(1.6M)
